私密頻道 ADULT,#genre#
MADOU,http://lc.aacalive.com:26789/i/ghjnvq5o/sajdxxzc/index.m3u8
M麻辣传媒,http://lc.aacalive.com:26789/i/ghjnvq5o/asdm3134/index.m3u8
一本道1,https://vip4.ddyunbo.com/20190914/TFWmOomT/index.m3u8
一本道2,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8
一本道3,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8
一本道4,https://vip4.ddyunbo.com/20210208/uWwFdRB7/index.m3u8
一本道5,https://vip4.ddyunbo.com/20210208/EZRbwZn4/index.m3u8
一本道6,https://vip4.ddyunbo.com/20210207/Lyhqjp3z/index.m3u8
一本道7,https://vip4.ddyunbo.com/20210203/DYtc79vE/index.m3u8
一本道8,https://vip4.ddyunbo.com/20210202/cy0urBhD/index.m3u8
一本道9,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8
一本道10,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8
一本道11,https://vip4.ddyunbo.com/20210202/6wLYbWPq/index.m3u8
一本道12,https://vip4.ddyunbo.com/20190904/HqGckgKl/index.m3u8
一本道13,https://vip4.ddyunbo.com/20190904/m94xaoPh/index.m3u8
一本道14,https://vip4.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8
一本道15,https://vip4.ddyunbo.com/20190904/wJoZlwtT/index.m3u8
一本道16,https://vip4.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8
一本道17,https://vip4.ddyunbo.com/20190908/qvYslaAx/index.m3u8
一本道18,https://vip4.ddyunbo.com/20190908/ETghLd5D/index.m3u8
一本道19,https://vip4.ddyunbo.com/20190908/nvueB1Az/index.m3u8
一本道20,https://vip4.ddyunbo.com/20190908/zSd2DI9R/index.m3u8
一本道21,https://vip4.ddyunbo.com/20190914/dSIYelxz/index.m3u8
台灣綜合頻道,#genre#
==123.51.229.128源==,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=custom19
台視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1047
中視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1048
華視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1049
民視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1050
公視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1201
人間衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1198
大愛電視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1216
好消息頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1231
Trace Sport Stars,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1003
DISCOVERY,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1002
旅遊生活,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1005
動物星球,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1004
亞洲旅遊,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1219
momo親子台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1007
東森幼幼HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1008
ANIMAX 卡通動畫頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1060
龍華卡通台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=custom29
緯來綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1044
八大第一HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1043
八大綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1019
三立台灣HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1021
三立都會HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1020
韓國娛樂台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1024
東森綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1041
超視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1180
中天綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1022
中天娛樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1023
東風衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1195
MUCH TV,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1189
東森戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1042
八大戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1057
TVBS歡樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1018
緯來戲劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1186
龍華戲劇台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1009
龍華日韓劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1010
龍華偶像劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1235
緯來日本HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1026
Taiwan Plus,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1238
年代新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1192
東森新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1014
中天新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1015
民視新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1204
三立新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1016
TVBS新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1051
TVBS HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1254
非凡新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1013
非凡商業,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1012
東森財經HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1017
寰宇新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1222
壹新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1242
CNBC,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1063
Bloomberg News,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1066
NHK世界HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1027
鏡電視新聞台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1031
好萊塢電影HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1025
緯來電影HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1183
龍華電影台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1245
HBO,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1029
AXN,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1054
CINEMAX HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1030
AMC 電影台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1032
寵物頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1040
緯來育樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1045
緯來體育HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1011
博斯運動一,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1225
momo 綜合台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1248
DAZN 1,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1069
DAZN 2,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1072
廈門衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1033
CCTV4-中央衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1034
海峽衛視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1035
浙江衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1036
東方衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1037
湖南衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1038
鳯凰衛視資訊,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1210
鳯凰衛視中文,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1213
國家地理,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1257
衛視電影,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1260
STAR MOVIES GOLD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1263
Star World,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.229.128:1888&id=live1266
==123.51.149.68==,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=custom19
台視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1047
中視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1048
華視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1049
民視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1050
公視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1201
人間衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1198
大愛電視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1216
好消息頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1231
Trace Sport Stars,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1003
DISCOVERY,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1002
旅遊生活,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1005
動物星球,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1004
亞洲旅遊,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1219
momo親子台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1007
東森幼幼HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1008
ANIMAX 卡通動畫頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1060
龍華卡通台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=custom29
緯來綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1044
八大第一HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1043
八大綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1019
三立台灣HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1021
三立都會HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1020
韓國娛樂台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1024
東森綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1041
超視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1180
中天綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1022
中天娛樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1023
東風衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1195
MUCH TV,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1189
東森戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1042
八大戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1057
TVBS歡樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1018
緯來戲劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1186
龍華戲劇台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1009
龍華日韓劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1010
龍華偶像劇,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1235
緯來日本HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1026
Taiwan Plus,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1238
年代新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1192
東森新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1014
中天新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1015
民視新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1204
三立新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1016
TVBS新聞HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1051
TVBS HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1251
非凡新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1013
非凡商業,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1012
東森財經HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1017
寰宇新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1222
壹新聞,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1242
CNBC,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1063
Bloomberg News,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1066
NHK世界HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1027
鏡電視新聞台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1031
好萊塢電影HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1025
緯來電影HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1183
龍華電影台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1245
HBO,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1029
AXN,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1054
CINEMAX HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1030
AMC 電影台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1032
寵物頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1040
緯來育樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1045
緯來體育HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1011
博斯運動一,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1225
momo 綜合台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1248
DAZN 1,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1069
DAZN 2,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1072
廈門衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1033
CCTV4-中央衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1034
海峽衛視HD,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1035
浙江衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1036
東方衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1037
湖南衛視,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1038
鳯凰衛視資訊,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1210
鳯凰衛視中文,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1213
探索世界頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1257
華藝中文台,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1266
愛自然頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1263
搖滾娛樂頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1260
搖滾電影頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1254
DreamWorks,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1269
MTV Live音樂頻道,http://nn.7x9d.cn/jd/mk11.php?ip=123.51.149.68:1888&id=live1272
==61.216.26.165==,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=custom19
台視HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1047
中視HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1048
華視HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1049
民視HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1050
公視,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1201
人間衛視,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1198
大愛電視,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1216
Trace Sport Stars,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1003
DISCOVERY,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1002
旅遊生活,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1005
動物星球,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1004
momo親子台,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1007
東森幼幼HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1008
緯來綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1044
八大第一HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1043
八大綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1019
三立台灣HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1021
三立都會HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1020
韓國娛樂台,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1024
超視HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1180
中天綜合HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1022
中天娛樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1023
MUCH TV,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live2002
東森戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1042
八大戲劇HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1057
TVBS歡樂HD,http://nn.7x9d.cn/jd/mk11.php?ip=61.216.26.165:1888&id=live1018
