💞曹家精选,#genre#
CHC家庭影院,http://live.cooltv.top/tv/aishang.php?id=chcjtyy
CHC高清电影,http://live.cooltv.top/tv/aishang.php?id=chcgqdy
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1#http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
香港开电视,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
HBOHits,http://baidu.douyincdn.freetvtv.com/hbohits/index.m3u8
镜新闻,http://158.101.151.82:9000/jmsytb.m3u8?c=19
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8 
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist1.m3u8 
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8 
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8 
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8 
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8 
美国中文台,https://jpts.sinovision.net/livestream.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡亚太台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
FOX新闻台,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
J2,http://120.84.96.161:808/hls/86/index.m3u8 
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
J2,http://120.132.122.244:59845/hls/81/index.m3u8
无线财经•资讯台,http://120.84.96.74:808/hls/86/index.m3u8 
无线财经•资讯台,http://120.132.122.244:59845/hls/82/index.m3u8
耀才财经新闻,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
儒释道经,https://live.ciguang.tv/live/hdtv.m3u8?auth_key=5216465889-0-0-701a98b03302233fc07fa2ee9e85d39b
有线18,rtmp://59.124.75.138:1935/sat/hk041
天映经㤟,mitv://generationnexxxt.com:19806/c7cf6992ae514b7e9a92164e4cac30e2
天映经典,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
天映经典,http://27.47.71.97:808/hls/62/index.m3u8
天映频道,http://51.79.82.208:16024
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
🎈水运央视,#genre#
CCTV1,https://cntv.sbs/tv?auth=231005&id=cctv1
CCTV1,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://cntv.sbs/tv?auth=231005&id=cctv2
CCTV2,http://cm.wshls.homecdn.com/live/11ecc.m3u8
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://cntv.sbs/tv?auth=231005&id=cctv3
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,https://cntv.sbs/tv?auth=231005&id=cctv4
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://cntv.sbs/tv?auth=231005&id=cctv5
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://cntv.sbs/tv?auth=231005&id=cctv5p
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://cntv.sbs/tv?auth=231005&id=cctv6
CCTV6,http://cm.wshls.homecdn.com/live/11ee8.m3u8
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://cntv.sbs/tv?auth=231005&id=cctv7
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://cntv.sbs/tv?auth=231005&id=cctv8
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://cntv.sbs/tv?auth=231005&id=cctv9
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://cntv.sbs/tv?auth=231005&id=cctv10
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://cntv.sbs/tv?auth=231005&id=cctv11
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://cntv.sbs/tv?auth=231005&id=cctv12
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://cntv.sbs/tv?auth=231005&id=cctv13
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://cntv.sbs/tv?auth=231005&id=cctv14
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://cntv.sbs/tv?auth=231005&id=cctv15
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://cntv.sbs/tv?auth=231005&id=cctv16
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://cntv.sbs/tv?auth=231005&id=cctv17
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
🎈水运卫视,#genre#
安徽卫视,https://cntv.sbs/tv?auth=231005&id=ahws
安徽卫视,http://121.51.249.45/live1.ahtv.cn/ahws/hd/live.m3u8
江苏卫视,https://cntv.sbs/tv?auth=231005&id=jsws
江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
广西卫视,https://cntv.sbs/tv?auth=231005&id=gxws
广西卫视,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000
四川卫视,https://cntv.sbs/tv?auth=231005&id=scws
四川卫视,https://live.v1.mk/api/bestv.php?id=scwshd/8000000
湖南卫视,https://cntv.sbs/tv?auth=231005&id=hnws
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视,https://cntv.sbs/tv?auth=231005&id=zjws
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
东方卫视,https://cntv.sbs/tv?auth=231005&id=dfws
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
北京卫视,https://cntv.sbs/tv?auth=231005&id=bjws
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
天津卫视,https://cntv.sbs/tv?auth=231005&id=tjws
天津卫视,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视,https://cntv.sbs/tv?auth=231005&id=lnws
辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
安徽卫视,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视,https://cntv.sbs/tv?auth=231005&id=hljws
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
广东卫视,https://cntv.sbs/tv?auth=231005&id=gdws
广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
深圳卫视,https://cntv.sbs/tv?auth=231005&id=szws
深圳卫视,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000
河北卫视,https://cntv.sbs/tv?auth=231005&id=hbws
河北卫视,https://live.v1.mk/api/ghyx.php?id=HeBeiHD_6000
江西卫视,https://cntv.sbs/tv?auth=231005&id=jxws
江西卫视,https://live.v1.mk/api/ghyx.php?id=JiangXiHD_6000
天津卫视,https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
重庆卫视,https://cntv.sbs/tv?auth=231005&id=cqws
重庆卫视,https://live.v1.mk/api/ghyx.php?id=ChongQingHD_6000
黑龙江卫视,https://live.v1.mk/api/ghyx.php?id=HeiLongJiangHD_6000
吉林卫视,https://cntv.sbs/tv?auth=231005&id=jlws
吉林卫视,https://live.v1.mk/api/ghyx.php?id=JiLinWeiShiHD_6000
湖南卫视,https://cntv.sbs/tv?auth=231005&id=hnws
海南卫视,https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
兵团卫视,https://cntv.sbs/tv?auth=231005&id=btws
三沙卫视,https://cntv.sbs/tv?auth=231005&id=ssws
康巴卫视,https://cntv.sbs/tv?auth=231005&id=kbws
海峡卫视,https://cntv.sbs/tv?auth=231005&id=hxws
青海卫视,https://cntv.sbs/tv?auth=231005&id=qhws
内蒙古卫视,https://cntv.sbs/tv?auth=231005&id=nmgws
山东卫视,https://cntv.sbs/tv?auth=231005&id=sdws
山西卫视,https://cntv.sbs/tv?auth=231005&id=sxiws
甘肃卫视,https://cntv.sbs/tv?auth=231005&id=gsws
新疆卫视,https://cntv.sbs/tv?auth=231005&id=xjws
云南卫视,https://cntv.sbs/tv?auth=231005&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=231005&id=gzws
星空卫视台,http://159.75.85.63:8765/telegram@feiyangdigital-xingkong.m3u8
CHANNELV 内置解码,http://jydx.jdshipin.com:8081/hls/88/index.m3u8$内置解码
天映頻道,http://210.210.155.37/dr9445/h/h14/index.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8 
翡翠台,http://2022.stream-link.org/playlist/tvb_jade
翡翠台,http://23.237.10.66:16106
翡翠台,http://2023.stream-link.org/playlist/tvb_jade
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://jydx.jdshipin.com:8081/hls/67/index.m3u8
翡翠台,http://23.237.10.66:16106
翡翠台,http://23.237.10.66:16106
华丽台,http://23.237.10.66:16410
华丽台,http://2022.stream-link.org/playlist/astro_jade
华丽台,http://23.237.10.66:16410
华丽台,http://23.237.10.66:16410
台视,http://23.237.10.66:16344
台视,http://2023.stream-link.org/playlist/ttv
台视,http://2023.stream-link.org/playlist/ttv
台视,http://137.175.36.206:8188/ttv_taiwan/playlist.m3u8?tid=MDCD7498841774988417&ct=19226&tsum=205fa69ca9e6c04cfa0ed0b301647d1e
台视,http://137.175.36.206:8188/ttv_taiwan/playlist.m3u8?tid=mdea1ba75c9e516139101&ct=17874&tsum=95f1742d36f959fe6e241587a4f8e970
台视,http://107.151.203.111:2209/135/us50.php?id=tsk
中视,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
中视,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/.m3u8
中视,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
华视,http://2023.stream-link.org/playlist/cts_zy
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
民视,http://23.237.10.66:16334
民视,http://107.151.203.111:2209/135/us50.php?id=msk
民视,http://137.175.36.206:8188/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce
民视,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
中视新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
中视新闻,http://2023.stream-link.org/playlist/ctv_news
中視經典,http://137.175.36.206:8188/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
中視經典,http://137.175.36.206:8188/zhongshi_twn/playlist.m3u8?tid=mffe9aaf8765f&ct=18335&tsum=bcdd7a2ce4a5498b1449cb26a01150c0
中视新闻,http://158.101.151.82:9000/jmsytb.m3u8?c=8
台视新闻,http://2023.stream-link.org/playlist/ttv_news
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
民视新闻,http://123.51.230.108:18663/.m3u8
民视新闻,http://www.336699.live:1935/blockfour/litv-ftv13.stream/playlist.m3u8
民视新闻,http://2023.stream-link.org/playlist/ftv_news
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,https://pull-l3-cny.douyincdn.com/live/304b8e04a437299311112b7f4902c9dd.m3u8
华视新闻,http://2023.stream-link.org/playlist/cts_news
华视新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
中天新闻,http://pull-l3-cny.douyincdn.com/third/stream-7898d38d54c60879ba96a1fa42edbd53.m3u8
中天新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
中天新闻,http://2023.stream-link.org/playlist/cti_news
中天新闻,http://158.101.151.82:9000/jmsytb.m3u8?c=05
中天亞洲台,http://137.175.36.206:8188/ctiasia_twn/playlist.m3u8?tid=mfc2c5bc6c101&ct=18335&tsum=d074a602fcd98718afeb8fc9a18fa964
寰宇新闻台,http://2023.stream-link.org/playlist/global_tw
寰宇新闻台,http://www.yshmzmc.top/gtjm.php?id=live1222
寰宇新闻台,http://2022.stream-link.org/playlist/global_tw
寰宇新闻台,http://158.101.151.82:9000/jmsytb.m3u8?c=14
寰宇新闻台,http://pull-l3-cny.douyincdn.com/third/stream-a9e3982a798d13ba350075af6cff4119.m3u8
TVBS HD,http://2023.stream-link.org/playlist/tvbs
TVBS HD,http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
TVBS HD,http://137.175.36.206:8188/tvbs/playlist.m3u8?tid=MF8F6036660760366607&ct=19225&tsum=28b93d22eed82973d85656ff0a6978c5
TVBS HD,http://137.175.36.206:8188/tvbs/playlist.m3u8?tid=MDED5111960351119603&ct=19226&tsum=49931e2d3885c468d56ffae2c2db9e6e
TVBS歡樂台HD,http://137.175.36.206:8188/tvbshuanle_twn/playlist.m3u8?ct=19193&tid=MC8C2318787923187879&tsum=394d2b9af3df7846e2cdc60d69dd4219
TVBS歡樂台HD,http://137.175.36.206:8188/tvbshuanle_twn/playlist.m3u8?tid=MA9A4111409641114096&ct=19225&tsum=600f3056bba6413dec3155efd19e2d20
TVBS歡樂台HD,http://www.336699.live:1935/blockfour/4gtv-4gtv068.stream/playlist.m3u8
TVBS新闻,http://2023.stream-link.org/playlist/tvbs_news
TVBS新闻,http://137.175.36.206:8188/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
TVBS新闻,http://www.336699.live:1935/blocksix/4gtv-live072.stream/chunklist.m3u8
TVBS新闻,http://line.premiumpowers.net:80/Manuel/1234567/941622
TVBS新闻,http://2023.stream-link.org/playlist/tvbs_news
TVBS新闻,http://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS新闻,http://line.premiumpowers.net:80/Manuel/1234567/941622
TVBS亚洲台,http://line.premiumpowers.net:80/Manuel/1234567/941621
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲台,http://pull-l3-cny.douyincdn.com/third/stream-9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门莲花,https://pull-l3-cny.douyincdn.com/live/f3caad21816e3bfe2210a692387ab040.m3u8
中天综合,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天综合,http://2023.stream-link.org/playlist/cti_zh
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天综合,http://23.237.10.66:16372
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://107.151.203.111:2209/135/hk.php?id=cable37h
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
美亞電影,http://pull-l3-cny.douyincdn.com/third/stream-b16e0049bdda5f54e62d3c9b694d81ff.m3u8
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
美亞電影,http://137.175.36.206:8188/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
纬来戏剧台,http://pull-l3-cny.douyincdn.com/third/stream-cf93b19e055f2800058541033c0c4355.m3u8
緯來電影台,http://137.175.36.206:8188/videolandmovie/playlist.m3u8?ct=18335&tid=ma2dac66da407&tsum=9a5a39559f64a71081ef9b3a85f2886c
緯來電影台,http://pull-l3-cny.douyincdn.com/third/stream-6de7ee8878da79aaf393c0f63081cb0c.m3u8
星卫电影台,http://23.237.10.66:16359
星卫电影台,http://pull-l3-cny.douyincdn.com/third/stream-80d54eadb8f343a8b837c22e336155d1.m3u8
星卫电影台,http://137.175.36.206:8188/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
影迷数位电影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
影迷数位电影台,http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
CATCHPLAY電影台,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/.m3u8
HBO,http://line.premiumpowers.net:80/Manuel/1234567/941648
HBO,http://line.premiumpowers.net:80/Manuel/1234567/941648
HBO HD,http://pull-l3-cny.douyincdn.com/third/stream-b2478a833f3e8b439b680048fcbf7786.m3u8
HBO HD,http://137.175.36.206:8188/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBO HD,http://137.175.36.206:8188/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO家庭,http://pull-l3-cny.douyincdn.com/third/stream-1279e1fd458348b32fd60381b1017c09.m3u8
HBO家庭,http://line.premiumpowers.net:80/Manuel/1234567/941646
HBO家庭,http://pull-l3-cny.douyincdn.com/third/stream-1279e1fd458348b32fd60381b1017c09.m3u8
HBO原创,http://pull-l3-cny.douyincdn.com/third/stream-9bfb4b08fec367ed3850357a853250d5.m3u8
HBO原创,http://137.175.36.206:8188/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO原创,http://line.premiumpowers.net:80/Manuel/1234567/941645
HBO原创,http://pull-l3-cny.douyincdn.com/third/stream-9bfb4b08fec367ed3850357a853250d5.m3u8
HBO強檔,http://pull-l3-cny.douyincdn.com/third/stream-162f0111fdd134e929d72640e6c4ea56.m3u8
HBO強檔,http://137.175.36.206:8188/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
AXN,http://137.175.36.206:8188/axn_twn/playlist.m3u8?tid=MA1A8358225083582250&ct=19193&tsum=105511aaad1c3ff86d7489e83e18b209
AXN,http://137.175.36.206:8188/axn_twn/playlist.m3u8?tid=MA1A8358225083582250&ct=19193&tsum=105511aaad1c3ff86d7489e83e18b209
CINEMAX,http://pull-l3-cny.douyincdn.com/third/stream-af25e1a3f0fff1e8ea22c55a0c9352f0.m3u8
CINEMAX,http://pull-l3-cny.douyincdn.com/third/stream-af25e1a3f0fff1e8ea22c55a0c9352f0.m3u8
